user_id,account,password,birth_year,gender,favorite_genres
1,user_000001,753753,1962,Other,Drama|Animation|Children's
2,user_000002,A70a70,1952,Male,
3,user_000003,520520,1975,Other,Adventure|Comedy|Action
4,user_000004,28D28d,1975,Female,
5,user_000005,CAEcae,1977,Other,Drama|Comedy|Sci-Fi
6,user_000006,405405,1955,Female,Romance|Musical|Comedy
7,user_000007,2CF2cf,1986,Male,Action|Thriller|Adventure
8,user_000008,523523,1974,Female,Drama|Action|Thriller
9,user_000009,EA1ea1,2004,Other,Thriller|Drama|Crime
10,user_000010,363363,1949,Female,Drama|Comedy|Romance
11,user_000011,431431,2002,Other,Comedy|Drama|Action
12,user_000012,790790,2005,Female,Drama|Adventure|Action
13,user_000013,8CC8cc,1978,Female,Action|Sci-Fi|Thriller
14,user_000014,71F71f,1958,Other,Drama|Comedy|War
15,user_000015,BD1bd1,1971,Male,Drama|Action|War
16,user_000016,1B31b3,1991,Female,Comedy|Animation|Action
17,user_000017,EA9ea9,1998,Female,Drama|Sci-Fi|Crime
18,user_000018,EAEeae,1968,Male,Action|Adventure|Animation
19,user_000019,758758,1950,Other,
20,user_000020,BDFbdf,1964,Female,Action|Crime|Sci-Fi
21,user_000021,FD4fd4,1966,Female,Animation|Sci-Fi|Adventure
22,user_000022,C73c73,1962,Male,
23,user_000023,5E95e9,1982,Male,
24,user_000024,0D00d0,1994,Other,
25,user_000025,DD5dd5,1993,Male,
26,user_000026,A9Fa9f,1970,Other,
27,user_000027,BE5be5,2006,Other,
28,user_000028,C3Ac3a,1959,Other,
29,user_000029,A49a49,1954,Female,Action|Adventure|War
30,user_000030,057057,1982,Other,
31,user_000031,C88c88,1946,Female,
32,user_000032,CD4cd4,1954,Male,
33,user_000033,497497,1966,Other,
34,user_000034,4B34b3,1990,Other,
35,user_000035,1D21d2,1987,Male,Drama|Western|Action
36,user_000036,7AD7ad,1987,Male,Adventure|Comedy|Animation
37,user_000037,377377,1956,Other,Comedy|Romance|Thriller
38,user_000038,89C89c,1998,Female,Drama|Romance|Animation
39,user_000039,F60f60,1971,Female,Comedy|Drama|Horror
40,user_000040,52C52c,2003,Other,Adventure|War|Animation
41,user_000041,439439,1993,Female,
42,user_000042,741741,1959,Male,Action|Adventure|Sci-Fi
43,user_000043,1F01f0,1949,Female,Comedy|Thriller|Action
44,user_000044,EB7eb7,1997,Other,Adventure|Comedy|Animation
45,user_000045,EE5ee5,1979,Female,Romance|Comedy|Thriller
46,user_000046,8C18c1,1954,Female,
47,user_000047,1AC1ac,1990,Male,Drama|Romance|War
48,user_000048,A48a48,1985,Male,Drama|War|Action
49,user_000049,247247,1953,Female,Thriller|Film-Noir|Action
50,user_000050,BC9bc9,2008,Female,Comedy|Drama|Thriller
51,user_000051,93B93b,1976,Other,Comedy|Animation|Children's
52,user_000052,D31d31,1979,Male,Action|Thriller|Sci-Fi
53,user_000053,238238,1972,Female,Film-Noir|Thriller|Adventure
54,user_000054,02D02d,1962,Female,Comedy|Drama|Horror
55,user_000055,051051,1956,Male,
56,user_000056,5B75b7,1946,Female,Comedy|Animation|Children's
57,user_000057,752752,1950,Female,Comedy|Drama|Sci-Fi
58,user_000058,07A07a,1970,Male,Comedy|Sci-Fi|Thriller
59,user_000059,64A64a,1973,Male,Drama|War|Animation
60,user_000060,97F97f,1984,Female,Adventure|Action|Children's
61,user_000061,74B74b,2008,Male,Comedy|Drama|Romance
62,user_000062,125125,1967,Male,Drama|Adventure|Comedy
63,user_000063,6B86b8,2001,Female,
64,user_000064,450450,2005,Male,Action|Adventure|Drama
65,user_000065,BF2bf2,1998,Female,
66,user_000066,627627,1954,Female,Drama|War|Adventure
